OBJECTID,REGIONNAME,ZONENAME,WOREDANAME,REG_P_CODE,ZON_P_CODE,WOR_P_CODE,REG_Pcode,HRname,HRpcode,HRparent,DRMF_Name,pop_2020
"207",Amhara,South Wollo,Legambo,"03","0304","030410",ET03,Legambo,ET030410,ET0304,Legambo,235760.40625
"208",Amhara,South Wollo,Legehida,"03","0304","030420",ET03,Legehida,ET030420,ET0304,Legehida,96407.234375
"209",Amhara,South Gonder,Libo Kemkem,"03","0302","030202",ET03,Libo Kemkem,ET030202,ET0302,L/Kemkem,283774.125
"210",Amhara,West Gojam,Mecha,"03","0307","030704",ET03,Mecha,ET030704,ET0307,,418919.75
"211",Amhara,South Wollo,Mehal Sayint,"03","0304","030419",ET03,Mehal Sayint,ET030419,ET0304,,105463.234375
"212",Amhara,South Wollo,Mekdela,"03","0304","030401",ET03,Mekdela,ET030401,ET0304,Mekdela,205045.546875
"213",Amhara,North Wollo,Meket,"03","0303","030304",ET03,Meket,ET030304,ET0303,Meket,324021.75
"214",Amhara,North Shewa(R3),Menz Lalo Midir,"03","0305","030522",ET03,Menz Lalo Midir,ET030522,ET0305,,25045.046875
"215",Amhara,North Shewa(R3),Menz Mama Midir,"03","0305","030509",ET03,Menz Mama Midir,ET030509,ET0305,,122395.9296875
"216",Amhara,North Shewa(R3),Merahbete,"03","0305","030502",ET03,Merahbete,ET030502,ET0305,,181648.421875
"217",Amhara,North Gonder,Metema,"03","0301","030113",ET03,Metema,ET030113,ET0301,,155832.0625
"218",Amhara,East Gojam,Michakel,"03","0306","030609",ET03,Michakel,ET030609,ET0306,,169280
"219",Amhara,North Shewa(R3),Mimo Weremo,"03","0305","030501",ET03,Mimo Weremo,ET030501,ET0305,,134459.890625
"220",Amhara,North Shewa(R3),Minjar Shenkora,"03","0305","030518",ET03,Minjar Shenkora,ET030518,ET0305,,184574.40625
"221",Amhara,North Gonder,Mirab Armacho,"03","0301","030106",ET03,Mirab Armacho,ET030106,ET0301,,45972.4921875
"222",Amhara,North Shewa(R3),Mojan Wedera,"03","0305","030511",ET03,Mojan Wedera,ET030511,ET0305,,99801.203125
"223",Amhara,North Shewa(R3),Moretna Jiru,"03","0305","030504",ET03,Moretna Jiru,ET030504,ET0305,,133068.640625
"224",Amhara,North Gonder,Quara,"03","0301","030114",ET03,Quara,ET030114,ET0301,,135944.625
"225",Amhara,West Gojam,Quarit,"03","0307","030706",ET03,Quarit,ET030706,ET0307,,165659.578125
"226",Amhara,Wag Himra,Sahla,"03","0308","030806",ET03,Sahla,ET030806,ET0308,Sahala,33979.125
"227",Amhara,South Wollo,Sayint,"03","0304","030411",ET03,Sayint,ET030411,ET0304,Sayint,207801.21875
"228",Amhara,West Gojam,Sekela,"03","0307","030705",ET03,Sekela,ET030705,ET0307,Sekela,198859.546875
"229",Amhara,West Gojam,Semen Achefer,"03","0307","030701",ET03,Semen Achefer,ET030701,ET0307,,267877.78125
"230",Amhara,East Gojam,Senan,"03","0306","030616",ET03,Senan,ET030616,ET0306,,142385.921875
"231",Amhara,East Gojam,Shebel Bereta,"03","0306","030614",ET03,Shebel Bereta,ET030614,ET0306,,148911.390625
"232",Amhara,South Gonder,Simada,"03","0302","030207",ET03,Simada,ET030207,ET0302,Simada,328088.1875
"233",Amhara,North Shewa(R3),Siya Debirna Wayu,"03","0305","030523",ET03,Siya Debirna Wayu,ET030523,ET0305,,86984.125
"234",Amhara,North Gonder,Tach Armacho,"03","0301","030120",ET03,Tach Armacho,ET030120,ET0301,,128037.6171875
"235",Amhara,South Gonder,Tach Gayint,"03","0302","030206",ET03,Tach Gayint,ET030206,ET0302,Tach Gayint,146192.28125
